timestamp,date,provider,model,input_tokens,output_tokens,cost_usd
2026-01-24T02:23:07.578770,2026-01-24,mistral,mistral-large-latest,239,0,0.000478
2026-01-24T02:23:08.499018,2026-01-24,mistral,mistral-large-latest,276,0,0.000552
2026-01-24T02:23:09.675885,2026-01-24,mistral,mistral-large-latest,259,0,0.000518
2026-01-24T02:23:10.549786,2026-01-24,mistral,mistral-large-latest,257,0,0.000514
2026-01-24T02:23:11.423686,2026-01-24,mistral,mistral-large-latest,251,0,0.000502
2026-01-24T02:23:12.310435,2026-01-24,mistral,mistral-large-latest,266,0,0.000532
2026-01-24T02:23:13.188343,2026-01-24,mistral,mistral-large-latest,230,0,0.000460
2026-01-24T02:23:14.037714,2026-01-24,mistral,mistral-large-latest,231,0,0.000462
2026-01-24T02:23:14.941168,2026-01-24,mistral,mistral-large-latest,260,0,0.000520
2026-01-24T02:23:15.803690,2026-01-24,mistral,mistral-large-latest,237,0,0.000474
2026-01-24T02:24:16.807956,2026-01-24,mistral,mistral-large-latest,258,0,0.000516
2026-01-24T02:24:18.030888,2026-01-24,mistral,mistral-large-latest,255,0,0.000510
2026-01-24T02:24:18.909741,2026-01-24,mistral,mistral-large-latest,248,0,0.000496
2026-01-24T02:24:19.813137,2026-01-24,mistral,mistral-large-latest,244,0,0.000488
2026-01-24T02:24:20.693628,2026-01-24,mistral,mistral-large-latest,236,0,0.000472
2026-01-24T02:24:21.801620,2026-01-24,mistral,mistral-large-latest,251,0,0.000502
2026-01-24T02:24:22.758683,2026-01-24,mistral,mistral-large-latest,234,0,0.000468
2026-01-24T02:24:23.985441,2026-01-24,mistral,mistral-large-latest,268,0,0.000536
2026-01-24T02:24:24.879717,2026-01-24,mistral,mistral-large-latest,239,0,0.000478
2026-01-24T02:24:25.757346,2026-01-24,mistral,mistral-large-latest,249,0,0.000498
2026-01-24T02:24:26.645300,2026-01-24,mistral,mistral-large-latest,254,0,0.000508
2026-01-24T02:24:27.486963,2026-01-24,mistral,mistral-large-latest,240,0,0.000480
2026-01-24T02:24:28.806285,2026-01-24,mistral,mistral-large-latest,246,0,0.000492
2026-01-24T02:24:29.620691,2026-01-24,mistral,mistral-large-latest,238,0,0.000476
2026-01-24T02:24:30.791499,2026-01-24,mistral,mistral-large-latest,233,0,0.000466
2026-01-24T02:24:31.704907,2026-01-24,mistral,mistral-large-latest,319,0,0.000638
2026-01-24T02:24:32.598819,2026-01-24,mistral,mistral-large-latest,271,0,0.000542
2026-01-24T02:24:33.585714,2026-01-24,mistral,mistral-large-latest,291,0,0.000582
2026-01-24T02:24:34.518966,2026-01-24,mistral,mistral-large-latest,231,0,0.000462
2026-01-24T02:24:35.384169,2026-01-24,mistral,mistral-large-latest,244,0,0.000488
2026-01-24T02:24:36.243283,2026-01-24,mistral,mistral-large-latest,232,0,0.000464
2026-01-24T02:24:37.182814,2026-01-24,mistral,mistral-large-latest,222,0,0.000444
